ïagno;rbd;dgv_rbd;nom_rbd;cod_depe;cod_depe2;rural_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;estado_estab;mat_si_1;mat_hom_1;mat_muj_1;mat_ens_1;mat_si_2;mat_hom_2;mat_muj_2;mat_ens_2;mat_hom_3;mat_muj_3;mat_ens_3;mat_si_4;mat_hom_4;mat_muj_4;mat_ens_4;mat_hom_5;mat_muj_5;mat_ens_5;mat_hom_6;mat_muj_6;mat_ens_6;mat_hom_7;mat_muj_7;mat_ens_7;mat_si_8;mat_hom_8;mat_muj_8;mat_ens_8;mat_hom_tot;mat_muj_tot;mat_si_tot;mat_total;cur_sim_01;cur_sim_02;cur_sim_03;cur_sim_04;cur_sim_05;cur_sim_06;cur_sim_07;cur_sim_08;cur_sim_tot;cur_comb_01;cur_comb_02;cur_comb_tot
2016;20;5;ESCUELA TUCAPEL;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;45;43;88;0;215;151;366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;194;0;454;4;16;0;0;0;0;0;0;20;0;0;0
2016;21;3;ESCUELA CARLOS GUIRAO MASSIF;2;1;0;15;151;15101;ARICA;151;ARICA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;22;1;ESCUELA GABRIELA MISTRAL;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;95;78;173;0;425;365;790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;520;443;0;963;7;24;0;0;0;0;0;0;31;0;0;0
2016;25;6;COLEGIO CENTENARIO DE ARICA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;52;48;100;0;232;175;407;0;0;0;0;0;0;0;34;24;58;0;0;0;0;0;0;0;0;0;0;318;247;0;565;4;16;0;0;2;0;0;0;22;0;0;0
2016;26;4;ESCUELA REPUBLICA DE ARGENTINA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;9;14;23;0;84;65;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;79;0;172;2;8;0;0;0;0;0;0;10;0;0;0
2016;27;2;ESCUELA ESMERALDA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;15;3;18;0;107;68;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;71;0;193;0;8;0;0;0;0;0;0;8;1;0;1
2016;28;0;ESCUELA RICARDO SILVA ARRIAGADA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;33;34;67;0;131;130;261;55;72;127;0;0;0;0;0;0;0;182;153;335;0;0;0;0;0;0;0;401;389;0;790;2;9;4;0;0;8;0;0;23;0;0;0
2016;29;9;ESCUELA AMERICA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;46;53;99;0;231;179;410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277;232;0;509;4;16;0;0;0;0;0;0;20;0;0;0
2016;30;2;ESCUELA DR. RICARDO OLEA GUERRA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;113;64;177;0;0;0;0;0;0;0;0;0;0;0;0;0;113;64;0;177;0;0;0;20;0;0;0;0;20;0;0;0
2016;31;0;ESCUELA DARIO SALAS DIAZ;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;43;40;83;0;164;167;331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207;207;0;414;4;8;0;0;0;0;0;0;12;0;0;0
2016;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;64;58;122;0;267;210;477;0;0;0;0;0;0;0;0;0;0;0;0;0;60;74;134;0;0;0;0;391;342;0;733;4;13;0;0;0;0;4;0;21;0;0;0
2016;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;19;19;38;0;91;75;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;94;0;204;2;8;0;0;0;0;0;0;10;0;0;0
2016;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;14;18;32;0;38;35;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;53;0;105;0;0;0;0;0;0;0;0;0;1;3;4
2016;36;1;ESCUELA IGNACIO CARRERA PINTO;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;24;31;55;0;122;113;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;144;0;290;2;9;0;0;0;0;0;0;11;0;0;0
2016;38;8;ESCUELA ESPAÃÂÃÂA;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;62;47;109;0;207;209;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;256;0;525;4;13;0;0;0;0;0;0;17;0;0;0
2016;39;6;ESCUELA PAMPA ALGODONAL;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;10;7;17;0;28;23;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;30;0;68;2;0;0;0;0;0;0;0;2;0;2;2
2016;41;8;ESCUELA VALLE DE CHACA;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;13;15;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;15;0;28;0;0;0;0;0;0;0;0;0;0;1;1
2016;42;6;ESCUELA MOLINOS LLUTA;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;9;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;0;16;0;6;0;0;0;0;0;0;6;0;0;0
2016;43;4;JARDIN INFANTIL CEPILLIN;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;16;17;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;17;0;33;2;0;0;0;0;0;0;0;2;0;0;0
2016;44;2;JARDIN INFANTIL PEQUENILANDIA;3;2;0;15;151;15101;ARICA;151;ARICA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;45;0;COLEGIO ITALIANO SANTA ANA;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;0;110;110;0;0;569;569;0;0;0;0;0;0;0;0;249;249;0;0;0;0;0;0;0;0;0;0;0;928;0;928;4;16;0;0;8;0;0;0;28;0;0;0
2016;46;9;JARDIN INFANTIL SAN ANDRES;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;10;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;16;2;0;0;0;0;0;0;0;2;0;0;0
2016;47;7;J.  I. KURUMI;4;3;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;49;3;JARDIN INFANTIL PADRE LUIS GALLARDO;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;22;25;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;25;0;47;0;0;0;0;0;0;0;0;0;2;0;2
2016;50;7;COLEGIO ADVENTISTA DE ARICA;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;195;201;396;0;0;0;0;0;0;0;90;90;180;0;0;0;0;0;0;0;0;0;0;285;291;0;576;0;9;0;0;4;0;0;0;13;0;0;0
2016;51;5;ESCUELA PARTICULAR REPÃÂÃÂBLICA DEL ECUADOR;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;4;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;8;0;0;0;0;0;0;0;0;0;0;1;1
2016;52;3;LICEO DOMINGO SANTA MARIA;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;159;188;347;0;887;929;1816;0;0;0;0;30;14;44;560;576;1136;0;0;0;299;244;543;0;0;0;0;1935;1951;0;3886;9;44;0;4;26;0;13;0;96;0;0;0
2016;55;8;JARDIN INFANTIL MONTESSORI GARDEN;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;66;78;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;78;0;144;5;0;0;0;0;0;0;0;5;0;0;0
2016;56;6;COLEGIO SAN MARCOS DE ARICA;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;19;20;39;0;279;295;574;0;0;0;0;0;0;0;142;139;281;0;0;0;0;0;0;0;0;0;0;440;454;0;894;2;16;0;0;8;0;0;0;26;0;0;0
2016;57;4;JARDIN INFANTIL ZORZALITO;3;2;0;15;151;15101;ARICA;151;ARICA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;58;2;JARDIN INFANTIL PETETE J.M. BORGOÃÂÃÂO;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;33;29;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;29;0;62;4;0;0;0;0;0;0;0;4;0;0;0
2016;59;0;COLEGIO SAN JORGE;4;3;0;15;151;15101;ARICA;151;ARICA;1;0;33;36;69;0;156;150;306;0;0;0;0;0;0;0;85;77;162;0;0;0;0;0;0;0;0;0;0;274;263;0;537;4;15;0;0;7;0;0;0;26;0;0;0
2016;60;4;COLEGIO ALEMAN DE ARICA;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;56;71;127;0;252;280;532;0;0;0;0;0;0;0;115;99;214;0;0;0;0;0;0;0;0;0;0;423;450;0;873;4;17;0;0;5;0;0;0;26;0;0;0
2016;65;5;J.  I.  SOLDADITO DE PLOMO;4;3;0;15;151;15101;ARICA;151;ARICA;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;66;3;JARDIN INFANTIL PLUTO;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;17;14;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;14;0;31;4;0;0;0;0;0;0;0;4;0;0;0
2016;67;1;ABRAHAM LINCOLN SCHOOL;3;2;0;15;151;15101;ARICA;151;ARICA;1;0;17;25;42;0;216;213;429;0;0;0;0;0;0;0;55;49;104;0;0;0;0;0;0;0;0;0;0;288;287;0;575;2;16;0;0;4;0;0;0;22;0;0;0
2016;69;8;JUNIOR COLLEGE;4;3;0;15;151;15101;ARICA;151;ARICA;1;0;20;45;65;0;221;211;432;0;0;0;0;0;0;0;103;116;219;0;0;0;0;0;0;0;0;0;0;344;372;0;716;3;19;0;0;8;0;0;0;30;0;0;0
2016;70;1;ESCUELA VALLE DE ESQUINA;2;1;1;15;151;15102;CAMARONES;151;ARICA;1;0;0;0;0;0;2;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;9;0;0;0;0;0;0;0;0;0;0;1;1
2016;72;8;LICEO  VALLE DE CODPA;2;1;1;15;151;15102;CAMARONES;151;ARICA;1;0;0;0;0;0;19;14;33;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;14;0;0;0;0;28;19;0;47;0;0;0;0;0;0;4;0;4;0;3;3
2016;73;6;ESCUELA VALLE DE COBIJA;2;1;1;15;151;15102;CAMARONES;151;ARICA;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1
2016;74;4;ESCUELA VALLE DE CAMARONES;2;1;1;15;151;15102;CAMARONES;151;ARICA;1;0;0;0;0;0;4;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;9;0;0;0;0;0;0;0;0;0;0;1;1
2016;75;2;ESCUELA VALLE DE GUANACAGUA;2;1;1;15;151;15102;CAMARONES;151;ARICA;1;0;0;0;0;0;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;6;0;0;0;0;0;0;0;0;0;0;1;1
2016;76;0;ESCUELA VALLE DE CUYA;2;1;1;15;151;15102;CAMARONES;151;ARICA;1;0;0;0;0;0;4;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;7;0;0;0;0;0;0;0;0;0;0;1;1
2016;78;7;LICEO GRANADEROS;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;15;6;21;0;71;65;136;0;0;0;0;0;0;0;0;0;0;172;0;172;21;15;36;0;0;0;0;279;86;0;365;2;8;0;0;0;4;4;0;18;0;0;0
