
=====================================================================================================================================================
                                                                                     Model 1
(Conviviality)  Model 2
(Identity)   Model 3
(Threat)   
-----------------------------------------------------------------------------------------------------------------------------------------------------
Cov: comuna educTechnical know_inm_t1t4No longer know                                   -0.00                    0.01                 0.02           
Cov: comuna educTechnical frien_inm_t1t4Stable, have friends                            -0.02                   -0.01                -0.00           
Cov: comuna educTechnical frien_inm_t1t4Now have friends                                 0.01                   -0.01                 0.01           
Cov: comuna educTechnical frien_inm_t1t4No longer have friends                          -0.02                   -0.03                -0.02           
Cov: comuna educHigh school educPrimary                                                  0.02                    0.02                 0.04           
Cov: comuna educHigh school quintil1Q4                                                   0.00                    0.01                 0.03           
Cov: comuna educHigh school quintil1Q3                                                  -0.00                    0.00                -0.01           
Cov: comuna educHigh school quintil1Q2                                                  -0.01                   -0.00                -0.00           
Cov: comuna educHigh school quintil1Q1                                                  -0.01                   -0.00                 0.00           
Cov: comuna educHigh school quintil1QNA                                                  0.01                    0.00                 0.03           
Cov: comuna educHigh school know_inm_t1t4Stable, know                                    0.02                    0.01                 0.00           
Cov: comuna educHigh school know_inm_t1t4Now know                                        0.01                   -0.00                -0.01           
Cov: comuna educHigh school know_inm_t1t4No longer know                                  0.00                    0.00                -0.00           
Cov: comuna educHigh school frien_inm_t1t4Stable, have friends                          -0.00                   -0.00                -0.02           
Cov: comuna educHigh school frien_inm_t1t4Now have friends                              -0.00                    0.01                 0.01           
Cov: comuna educHigh school frien_inm_t1t4No longer have friends                        -0.01                    0.00                 0.00           
Cov: comuna educPrimary quintil1Q4                                                       0.01                    0.02                 0.02           
Cov: comuna educPrimary quintil1Q3                                                      -0.00                    0.00                -0.01           
Cov: comuna educPrimary quintil1Q2                                                      -0.01                    0.00                 0.00           
Cov: comuna educPrimary quintil1Q1                                                      -0.01                   -0.00                 0.01           
Cov: comuna educPrimary quintil1QNA                                                      0.00                   -0.00                 0.04           
Cov: comuna educPrimary know_inm_t1t4Stable, know                                        0.03                    0.00                 0.02           
Cov: comuna educPrimary know_inm_t1t4Now know                                            0.00                   -0.01                -0.00           
Cov: comuna educPrimary know_inm_t1t4No longer know                                     -0.01                   -0.01                 0.01           
Cov: comuna educPrimary frien_inm_t1t4Stable, have friends                              -0.01                    0.01                -0.01           
Cov: comuna educPrimary frien_inm_t1t4Now have friends                                  -0.00                    0.01                 0.02           
Cov: comuna educPrimary frien_inm_t1t4No longer have friends                            -0.02                    0.01                -0.01           
Cov: comuna quintil1Q4 quintil1Q3                                                        0.01                    0.01                 0.03           
Cov: comuna quintil1Q4 quintil1Q2                                                        0.00                    0.01                 0.01           
Cov: comuna quintil1Q4 quintil1Q1                                                       -0.00                    0.00                 0.02           
